kampo_number,name,name_kana,symptoms,patterns,crude_drugs,classification,indications,Physical,point
88,二朮湯,にじゅつとう,五十肩,中間証|寒証|気滞|水滞,ハンゲ|ソウジュツ|イレイセン|オウゴン|コウブシ|チンピ|ビャクジュツ|ブクリョウ|カンゾウ|ショウキョウ|テンナンショウ|ワキョウカツ,神経・筋・脳神経|整形・運動器,五十肩,体力中等度,肩や上腕の痛む場合
89,治打撲一方,ぢだぼくいっぽう,打撲|腫れ|痛み,実証|中間証|虚証|熱証|瘀血,ケイヒ|センキュウ|センコツ|ボクソク|カンゾウ|ダイオウ|チョウジ,外科・周術期,打撲による腫れ及び痛み,体力は問わない,打撲、捻挫による患部の腫脹、疼痛に用いる
90,清肺湯,せいはいとう,咳|痰,中間証|虚証|熱証|水滞|陰虚,トウキ|バクモントウ|ブクリョウ|オウゴン|キキョウ|キョウニン|サンシシ|ソウハクヒ|タイソウ|チンピ|テンモンドウ|バイモ|カンゾウ|ゴミシ|ショウキョウ|チクジョ,呼吸器|小児,痰の多く出る咳,比較的体力低下,粘稠性で切れにくい痰が多い蔓延化した場合
91,竹筎温胆湯,ちくじょうんたんとう,インフルエンザ|感冒|肺炎|咳|痰,中間証|虚証|熱証|水滞|気虚|陰虚,ハンゲ|サイコ|バクモントウ|ブクリョウ|キキョウ|キジツ|コウブシ|チンピ|オウレン|カンゾウ|ショウキョウ|ニンジン|チクジョ,呼吸器|小児,感冒|インフルエンザ|咳|痰|肺炎,比較的体力低下,回復期に熱が長引き咳、痰が多く不眠時に胸脇苦満のある場合
92,滋陰至宝湯,じいんしほうとう,咳|痰,虚証|熱証|気滞|陰虚,コウブシ|サイコ|ジコッピ|シャクヤク|チモ|チンピ|トウキ|バクモントウ|ビャクジュツ|ブクリョウ|バイモ|カンゾウ|ハッカ,呼吸器|小児,咳|痰,体力低下,全身倦怠感、盗汗を伴う、慢性に経過した咳嗽に用いる
93,滋陰降火湯,じいんこうかとう,痰|咳,虚証|熱証|血虚|陰虚,ソウジュツ|ジオウ|シャクヤク|チンピ|テンモンドウ|トウキ|バクモントウ|オウバク|カンゾウ|チモ,呼吸器|小児,痰の出ない,体力低下,皮膚の色が浅黒く、咳嗽、粘稠で切れにくい痰などがある場合
95,五虎湯,ごことう,咳|気管支喘息,実証|熱証|水滞,マオウ|セッコウ|キョウニン|ソウハクヒ|カンゾウ,呼吸器|小児,咳|気管支喘息,比較的体力のある,心窩部膨満し胸脇苦満、咳嗽、喀痰、水様性鼻汁などを伴う場合
96,柴朴湯,さいぼくとう,動悸|めまい|嘔吐|小児喘息|気管支喘息|気管支炎|咳|神経症,中間証|熱証|気虚|気滞|水滞,サイコ|ハンゲ|ブクリョウ|オウゴン|コウボク|タイソウ|ニンジン|カンゾウ|ソヨウ|ショウキョウ,呼吸器|膠原病|小児|精神・神経,気管支炎|咳|関節リウマチ（下肢）|気管支喘息|小児喘息|咳|不安神経症,体力中等度,心窩部膨満、咳嗽、喘息、精神不安、抑うつ等がある場合
97,大防風湯,だいぼうふうとう,関節リウマチ|慢性関節炎|痛風,虚証|寒証|気虚|瘀血|血虚|水滞,オウギ|ジオウ|シャクヤク|ソウジュツ|トウキ|トチュウ|ボウフウ|センキュウ|カンゾウ|キョウカツ|ゴシツ|タイソウ|ニンジン|カンキョウ|ブシ,代謝・内分泌|整形・運動器,痛風|関節リウマチ（下肢）|慢性関節炎,比較的体力低下,顔色不良、関節の腫脹・疼痛、運動機能障害等が慢性化した場合
98,黄耆建中湯,おうぎけんちゅうとう,虚弱|衰弱|寝汗,虚証|寒証|気虚|血虚,オウギ|シャクヤク|ケイヒ|カンゾウ|ショウキョウ|タイソウ,共通（領域を問わないもの）|小児|外科・周術期,虚弱体質|病後の体力低下|ねあせ|病後の体力低下,体力低下,疲労倦怠感が著しく盗汗があり時に腹直筋の緊張する場合
99,小建中湯,しょうけんちゅうとう,腹痛|動悸|ほてり|冷え性|頻尿|多尿|虚弱体質|疲労倦怠|神経質|慢性胃腸炎|小児夜尿症|夜泣き,虚証|寒証|気虚|血虚,シャクヤク|ケイヒ|タイソウ|カンゾウ|ショウキョウ,共通（領域を問わないもの）|消化器|小児|精神・神経,疲労倦怠|慢性胃腸炎|小児虚弱体質|小児夜尿症|小児夜啼症|神経質,体力低下,疲れやすく腹部は腹壁の筋肉が薄く腹直筋の緊張する場合
100,大建中湯,だいけんちゅうとう,腹痛|腹部膨満感,虚証|寒証|気虚,カンキョウ|サンショウ|ニンジン,消化器|小児|外科・周術期|泌尿器,腹痛|腹部膨満感,体力低下,四肢が冷えて、腹部が冷え、腹部膨満感、鼓腸のある場合
101,升麻葛根湯,しょうまかっこんとう,感冒|皮膚炎,中間証|熱証|寒証,カッコン|シャクヤク|ショウマ|カンゾウ|ショウキョウ,呼吸器|小児|皮膚,感冒（初期）|皮膚炎,体力中等度,頭痛、発熱、悪寒、発疹などを伴う場合
102,当帰湯,トウキトウ,腹痛|腹部膨満感|背中の冷え,虚証|寒証|気虚|気滞|血虚|水滞,トウキ|ハンゲ|ケイヒ|コウボク|シャクヤク|ニンジン|オウギ|カンキョウ|サンショウ|カンゾウ,消化器|小児|外科・周術期|泌尿器,腹痛|腹部膨満感,比較的体力低下,冷え性で血色の悪い人で胸腹部より背部に疼痛を訴える場合
103,酸棗仁湯,サンソウニントウ,不眠症|神経症,虚証,サンソウニン|ブクリョウ|センキュウ|チモ,精神・神経,不眠,体力低下,心身とも疲労して、精神不安、神経過敏等を伴う場合
104,辛夷清肺湯,しんいせいはいとう,鼻づまり|慢性鼻炎|蓄膿症,実証|熱証|中間証|水滞|陰虚,セッコウ|バクモントウ|オウゴン|サンシシ|チモ|ビャクゴウ|シンイ|ビワヨウ|ショウマ,鼻腔咽喉,慢性鼻炎|蓄膿症|鼻づまり,体力中等度あるいはそれ以上,膿性鼻炎、後鼻漏などを伴う鼻疾患に用いる
105,通導散,つうどうさん,月経不順|更年期障害|便秘|腹痛|打撲|高血圧|頭痛|めまい|肩こり,実証|熱証|気滞|瘀血|水滞,キジツ|ダイオウ|トウキ|カンゾウ|コウカ|コウボク|ソボク|チンピ|モクツウ|ボウショウ,循環器|消化器|神経・筋・脳神経|外科・周術期|整形・運動器|産婦人科,高血圧の随伴症状（頭痛、めまい、肩こり）|便秘|腰痛|打撲|更年期障害|月経不順|月経痛,体力充実,心窩部・下腹部の圧痛・瘀血があり便秘精神神経症状を伴う場合
106,温経湯,うんけいとう,ほてり|月経不順|月経困難|こしけ|更年期障害|不眠症|神経症|湿疹|冷え性|しもやけ,虚証|寒証|中間証|寒証|気虚|瘀血|血虚,バクモントウ|ハンゲ|トウキ|カンゾウ|ケイヒ|シャクヤク|センキュウ|ニンジン|ボタンピ|ゴシュユ|ショウキョウ,共通（領域を問わないもの）|小児|産婦人科|皮膚|精神・神経,足腰の冷え|神経症|湿疹|更年期障害|月経不順|月経困難|こしけ|しもやけ|不眠,体力低下,手掌がほてり、口唇が乾燥し、下腹部が冷えて痛む場合
107,牛車腎気丸,ごしゃじんきがん,下肢痛|腰痛|痺れ|かすみ目|痒み|排尿困難|頻尿|浮腫,虚証|中間証|寒証|気虚|瘀血|水滞,ジオウ|ブシ|ゴシツ|サンシュユ|サンヤク|シャゼンシ|タクシャ|ブクリョウ|ボタンピ|ケイヒ,共通（領域を問わないもの）|循環器|腎|代謝・内分泌|神経・筋・脳神経|小児|外科・周術期|整形・運動器|産婦人科|皮膚|泌尿器|眼,むくみ|痺れ|腰痛|下肢痛|痒み|排尿困難|頻尿|老人のかすみ目,比較的体力低下,中年以降、腰部下肢の脱力感、冷え、痺れ、排尿異常がある場合
108,人参養栄湯,にんじんようえいとう,疲労|貧血|体力低下|食欲不振|寝汗|冷え性,虚証|寒証|気虚|血虚,ニンジン|トウキ|シャクヤク|ジオウ|ビャクジュツ|ブクリョウ|ケイヒ|オンジ|チンピ|オウギ|カンゾウ|ゴミシ,共通（領域を問わないもの）|消化器|血液|小児|外科・周術期|産婦人科,病後の体力低下|食欲不振|疲労倦怠|ねあせ|手足の冷え|食欲不振|貧血|病後の体力低下,体力低下,十全大補湯に近似するが、咳嗽、不眠などを伴う場合
109,小柴胡湯加桔梗石膏,しょうさいことうかききょうせっこう,扁桃炎|扁桃周囲炎,中間証|熱証|気虚,セッコウ|サイコ|ハンゲ|オウゴン|キキョウ|タイソウ|ニンジン|カンゾウ|ショウキョウ,鼻腔咽喉,扁桃炎|扁桃周囲炎,体力中等,亜急性ないし慢性化し、微熱、胸脇苦満、食欲不振を訴える場合
110,立効散,りっこうさん,疼痛|歯痛,実証|中間証|虚証|熱証|寒証,サイシン|ショウマ|ボウフウ|カンゾウ|リュウタン,歯・口腔,抜歯後の疼痛|歯痛,体力は問わない,歯痛後、歯齦痛および口腔内の腫脹・疼痛に用いる
111,清心蓮子飲,せいしんれんしいん,頻尿|排尿痛|残尿感,虚証|熱証|寒証|気虚|水滞,バクモントウ|ニンジン|ブクリョウ|レンコク|オウゴン|シャゼンシ|オウギ|ジコッピ|カンゾウ,泌尿器,残尿感|排尿痛|頻尿,比較的体力低下,胃腸の虚弱な人が、排尿困難、排尿痛等を訴える場合
112,猪苓湯合四物湯,ちょれいとうごうしもつとう,排尿痛|頻尿|排尿困難|残尿感,虚証|熱証|中間証|血虚|水滞,カッセキ|ジオウ|センキュウ|チョレイ|タクシャ|トウキ|シャクヤク|ブクリョウ|アキョウ,泌尿器,排尿困難|残尿感|排尿痛|頻尿,体力中等度,皮膚が枯燥し、頻尿、排尿痛等の排尿困難が慢性化・反復する場合
113,三黄瀉心湯,さんおうしゃしんとう,のぼせ|便秘|不安症|高血圧|のぼせ|肩こり|耳鳴り|頭重|不眠症|鼻血|痔出血|更年期障害|血の道症,実証|熱証,オウゴン|オウレン|ダイオウ,循環器|消化器|外科・周術期|産婦人科|鼻腔咽喉,高血圧の随伴症状（のぼせ、肩こり、耳鳴り、頭重、不眠、不安）|便秘|痔出血|更年期障害|血の道症|鼻血,体力充実,のぼせ気味で顔面紅潮し便秘、精神不安などを伴う場合
114,柴苓湯,さいれいとう,下痢|暑気あたり|急性胃腸炎|水瀉性下痢|吐き気|食欲不振,中間証|水滞|熱証|気虚,サイコ|タクシャ|ブクリョウ|ハンゲ|オウゴン|ソウジュツ|タイソウ|チョレイ|ニンジン|カンゾウ|ケイヒ|ショウキョウ,共通（領域を問わないもの）|消化器|腎|神経・筋・脳神経|小児|外科・周術期,暑気あたり|むくみ|急性胃腸炎|水瀉性下痢,体力中等度,胸脇苦満があり、尿量減少、浮腫、口渇などを伴う場合
115,胃苓湯,いれいとう,下痢|食欲不振|嘔吐|冷え腹|急性胃腸炎|腹痛,中間証|水滞|気滞|熱証|寒証,コウボク|ソウジュツ|チョレイ|チンピ|ビャクジュツ|ブクリョウ|タクシャ|ケイヒ|ショウキョウ|タイソウ|カンゾウ,共通（領域を問わないもの）|消化器|小児,暑気あたり|急性胃腸炎|食あたり|冷え腹|腹痛,体力中等度,心窩部に振水音を認め、水溶性の下痢、嘔吐、口渇を呈する場合
116,茯苓飲合半夏厚朴湯,ぶくりょういんごうはんげこうぼくとう,胃もたれ|不安症|動悸|めまい|嘔気|胸焼け|胃炎|つわり|溜飲|,虚証|中間証|熱証|寒証|気滞|水滞,ブクリョウ|ハンゲ|コウボク|ソウジュツ|チンピ|ニンジン|ソヨウ|キジツ|ショウキョウ,消化器|産婦人科|精神・神経,胃炎|神経性胃炎|溜飲|つわり|不安神経症,体力中等度あるいはやや低下,抑うつ状態、咽喉部の異物感、胃部膨満感、悪心などを訴える場合
117,茵蔯五苓散,いんちんごれいさん,浮腫|嘔吐|蕁麻疹|二日酔い,中間証|水滞|熱証|寒証,インチンコウ|タクシャ|ブクリョウ,共通（領域を問わないもの）|消化器|腎|神経・筋・脳神経|小児|外科・周術期|皮膚,むくみ|嘔吐|二日酔いのむかつき|蕁麻疹,体力中等度,口渇、尿量減少があり、軽度の黄疸を伴う場合
118,苓姜朮甘湯,りょうきょうじゅつかんとう,冷え|腰痛|夜尿症,虚証|寒証|気虚|水滞,ブクリョウ|カンキョウ|ビャクジュツ|カンゾウ,共通（領域を問わないもの）|神経・筋・脳神経|小児|整形・運動器|産婦人科,腰の冷え|腰痛|夜尿症,比較的体力低下,腰部より下肢にかけての冷えが顕著で頻尿を訴える場合
119,苓甘姜味辛夏仁湯,りょうかんきょうみしんげにんとう,貧血|冷え性|痰|咳|気管支喘息|気管支炎|心臓衰弱|腎臓病,虚証|寒証|中間証|水滞,カンキョウ|サイシン|ハンゲ|キョウニン|ゴミシ|カンゾウ|ブクリョウ,呼吸器|循環器|腎|小児,気管支炎|気管支喘息|心臓衰弱|腎臓病,比較的体力低下,冷え性で貧血傾向、喘鳴、咳嗽、喀痰、水様性鼻汁などを伴う場合
120,黄連湯,おうれんとう,胃痛|嘔吐|食欲不振|急性胃炎|口内炎|二日酔い,実証|中間証|熱証|寒証|急虚,ハンゲ|オウレン|カンキョウ|カンゾウ|ケイヒ|タイソウ|ニンジン,消化器|鼻腔咽喉|歯・口腔,口内炎|急性胃炎|二日酔い,体力中等度以上,上腹部痛、悪心、嘔吐があり心窩部に抵抗の認められる場合
121,三物黄芩湯,さんもつおうごんとう,ほてり,実証|熱証|中間証|陰虚,オウゴン|ジオウ|クジン,共通（領域を問わないもの）,手足のほてり,体力中等度あるいはそれ以上,手足に熱感があり、口渇や搔痒感、発熱を伴う場合
122,排膿散及湯,はいのうさんきゅうとう,化膿|腫れ|瘍|おでき|ニキビ|面疔,中間証|熱証,キキョウ|カンゾウ|キジュツ|シャクヤク|タイソウ|ショウキョウ,皮膚|歯・口腔,皮膚炎|せつ（癤）|よう（瘍）|面疔|癤腫症|発疹、疼痛を伴う化膿症,体力中等度前後,化膿性皮膚疾患、歯周組織炎（歯槽膿漏）、歯齦炎などに伴う場合
123,当帰建中湯,とうきけんちゅうとう,腹痛|痔|脱肛|月経痛,虚証|寒証|気虚|血虚,トウキ|シャクヤク|ケイヒ|タイソウ|トウキ|カンゾウ,消化器|小児|外科・周術期|産婦人科|泌尿器,下腹部痛|痔|脱肛の痛み|月経痛,体力低下,疲労しやすく、顔色不良、手足が冷え、腰に痛みがある場合
124,川芎茶調散,せんきゅうちゃちょうさん,頭痛|感冒|血の道症,実証|中間証|虚証|熱証|寒証|瘀血,センキュウ|ハッカ|コウブシ|キョウカツ|ケイガイ|ビャクシ|ボウフウ|カンゾウ|チャヨウ,呼吸器|神経・筋・脳神経|小児|産婦人科,感冒|頭痛|血の道症,体力は問わない,感冒の初期の頭痛、特発性頭痛がある場合
125,桂枝茯苓丸加薏苡仁,けいしぶくりょうがんかよくいにん,血の道症|ニキビ|しみ|手足の荒れ|月経不順|下腹部痛|肩こり|頭重|めまい|のぼせ|冷え性,実証|中間証|熱証|寒証|気滞|瘀血|水滞,ケイヒ|ブクリョウ|ヨクイニン|シャクヤク|トウニン|ボタンピ,産婦人科|皮膚,血の道症|月経不順|面皰|水虫|手足の荒れ,体力中等度もしくはそれ以上,のぼせて、下腹部に抵抗・圧痛などの瘀血の症状、皮膚症状がある場合
126,麻子仁丸,ましにんがん,便秘,虚証|中間証|陰虚,マシニン|キョウニン|ダイオウ|キジツ|キョウニン|コウボク|シャクヤク,消化器|外科・周術期,便秘,体力中等度あるいは低下,老人や病後の虚弱者で大便は硬く塊状を呈する場合
127,麻黄附子細辛湯,まおうぶしさいしんとう,悪寒|倦怠感|微熱|低血圧|頭痛|めまい|冷え性|感冒|気管支炎,虚証|寒証|中間証,マオウ|ブシ|サイシン,呼吸器|小児,感冒|気管支炎,比較的体力低下,虚弱者で悪寒を伴う発熱（微熱）や手足の冷えのどの痛みがある場合
128,啓脾湯,けいひとう,下痢|食欲不振|消化不良|慢性胃腸炎|胃腸虚弱,虚証|気虚|水滞,ニンジン|ソウジュツ|ブクリョウ|サンヤク|レンニク|サンザシ|タクシャ|チンピ|カンゾウ,消化器|小児|外科・周術期,胃腸虚弱|慢性胃腸炎|下痢|消化不良,比較的体力低下,顔色不良で、裏急後重（しぶり腹）を伴わない下痢の場合
133,大承気湯,だいじょうきとう,便秘|腹満|高血圧|神経症|食当り,実証|熱証|気滞|瘀血|水滞,ダイオウ|ボウショウ|キジツ|コウボク,循環器|消化器|小児|外科・周術期|精神・神経,高血圧|食あたり|急性便秘|常習便秘|神経症,体力充実,腹部、特に臍を中心に充実して膨満感が強く便秘する場合
134,桂枝加芍薬大黄湯,けいしかしゃくやくだいおうとう,腹痛|便秘|大腸カタル|急性腸炎|宿便|しぶり腹,中間証|虚証|寒証,ケイヒ|シャクヤク|ダイオウ|タイソウ|カンゾウ|ショウキョウ,消化器,口内炎|急性腸炎|大腸炎|常習便秘|宿便|しぶり腹,比較的体力のある,上腹部より胸部への不快感を訴え、悪心、便秘、皮膚搔痒感を伴う場合
135,茵蔯蒿湯,いんちんこうとう,黄疸|肝硬変|ネフローゼ|蕁麻疹|口内炎,実証|熱証|水滞,インチンコウ|ダイオウ|サンシシ,消化器|腎|小児|外科・周術期|皮膚|鼻腔咽喉|歯・口腔,黄疸|肝硬変|ネフローゼ|蕁麻疹|口内炎,比較的体力ある,上腹部より腹部へ不快感を訴え、悪心、嘔吐、便秘、皮膚搔痒感を伴う場合
136,清暑益気湯,せいしょえっきとう,倦怠感|食欲不振|下痢|夏やせ,虚証|熱証|気虚|血虚|陰虚,ニンジン|オウギ|ソウジュツ|ニンジン|バクモントウ|チンピ|トウキ|オウバク|ゴミシ,共通（領域を問わないもの）|消化器|小児|外科・周術期,食欲不振|疲労倦怠|夏やせ|暑気あたり|下痢|神経症,比較的体力低下,全身倦怠感、軟便、手足のの熱感、夏やせ、夏負け等に。
137,加味帰脾湯,かみきひとう,不眠|不安|神経症|貧血,虚証|気虚|気滞|血虚,オウギ|サイコ|サンソウニン|ソウジュツ|ニンジン|ブクリョウ|リュウガンニク|オンジ|サンシシ|タイソウ|トウキ|カンゾウ|ショウキョウ|モッコウ,血液|産婦人科|精神・神経,貧血|神経症|神経不安|不眠,体力低下,顔色が悪く精神不安などの精神症状、微熱がある場合
138,桔梗湯,キキョウトウ,扁桃炎|扁桃周囲炎,実証|中間証|虚証|熱証|寒証,カンゾウ|キキョウ,鼻腔咽喉,扁桃炎,体力は問わない,咽喉、扁桃の炎症で疼痛、腫脹がある場合
,,,,,,,,,
